state,action_date,naics_description,transaction_description,total_dollars_obligated,current_total_value_of_award,potential_total_value_of_award,object,program
FLORIDA,2022,SECURITY GUARDS AND PATROL SERVICES,MIA AOR IMMIGRATION DETENTION AND TRANSPORTATION SERVICES,34454348.58,38106456.52,38106456.52,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
TEXAS,2022,CORRECTIONAL INSTITUTIONS,FUNDING MOD FOR RIO GRANDE FACILITY WITH GEO GROUP UNDER DOJ NUMBER ODT-7-C-0003. (POP 4/1/22 - 3/31/23)  COR:  JOSE LONGORIA,1907722.32,1907722.32,1907722.32,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
COLORADO,2022,FACILITIES SUPPORT SERVICES,"INCREMENTAL FUNDING FOR DETENTION, TRANSPORTATION AND MEDICAL SERVICES FOR DENVER (AURORA) CONTRACT DETENTION FACILITY",43261453.11,43261453.11,43261453.11,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
CALIFORNIA,2022,SECURITY GUARDS AND PATROL SERVICES,ADD FUNDING FOR DETENTION SERVICES IN THE LOS ANGELES AREA OF RESPONSIBILITY,94812253.95,94812253.95,94812253.95,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
COLORADO,2022,FACILITIES SUPPORT SERVICES,"MUTUAL AGREEMENT FOR DETENTION, TRANSPORTATION AND MEDICAL SERVICES FOR DENVER (AURORA) CONTRACT DETENTION FACILITY",43261453.11,43261453.11,43261453.11,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
CALIFORNIA,2022,SECURITY GUARDS AND PATROL SERVICES,THE PURPOSE OF MODIFICATION P00007 IS TO ADD FUNDING.,90676981.64,90676981.64,90676981.64,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
CALIFORNIA,2022,SECURITY GUARDS AND PATROL SERVICES,FUNDING FOR DETENTION SERVICES AT MESA VERDE AND GOLDEN STATE FACILITIES.,41855234.26,41855234.26,41855234.26,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons;31.0: Equipment,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
,2022,FACILITIES SUPPORT SERVICES,STDC,0.0,,52409088.0,,
CALIFORNIA,2022,SECURITY GUARDS AND PATROL SERVICES,FUNDING FOR DETENTION SERVICES AT MESA VERDE AND GOLDEN STATE FACILITIES.,37534834.85,37534834.85,37534834.85,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons;31.0: Equipment,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
,2022,SECURITY GUARDS AND PATROL SERVICES,DETENTION AND DETENTION RELATED SERVICES AT THE SOUTH TEXAS DETENTION COMPLEX (STDC),0.0,,34333800.0,,
WASHINGTON,2022,FACILITIES SUPPORT SERVICES,"DE-OBLIGATE FUNDING FOR DETENTION SERVICES AT NORTHWEST DETENTION CENTER, TACOMA",54674039.84,54674039.84,54674039.84,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
CALIFORNIA,2022,SECURITY GUARDS AND PATROL SERVICES,ADD FUNDING FOR DETENTION SERVICES IN THE LOS ANGELES AREA OF RESPONSIBILITY,84883153.95,84883153.95,84883153.95,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
WASHINGTON,2022,FACILITIES SUPPORT SERVICES,"INCREMENTALLY FUNDING FOR DETENTION SERVICES AT NORTHWEST DETENTION CENTER, TACOMA",54692439.84,54692439.84,54692439.84,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
COLORADO,2022,FACILITIES SUPPORT SERVICES,"INCREMENTAL FUNDING FOR DETENTION, TRANSPORTATION AND MEDICAL SERVICES FOR DENVER (AURORA) CONTRACT DETENTION FACILITY",43261453.11,43261453.11,43261453.11,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
,2022,SECURITY GUARDS AND PATROL SERVICES,MIA AOR IMMIGRATION DETENTION AND TRANSPORTATION SERVICES,0.0,,202775604.52,,
FLORIDA,2022,SECURITY GUARDS AND PATROL SERVICES,MIA AOR DETENTION AND TRANSPORTATION SERVICES,21768796.3,38920596.42,38920596.42,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0000: UNKNOWN/OTHER;0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
DISTRICT OF COLUMBIA,2022,FACILITIES SUPPORT SERVICES,"DE-OBLIGATION DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO",44108012.8,44108012.8,44108012.8,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2022,SECURITY GUARDS AND PATROL SERVICES,MIA AOR IMMIGRATION DETENTION AND TRANSPORTATION SERVICES,0.0,,202775604.52,,
TEXAS,2022,FACILITIES SUPPORT SERVICES,**NEW TASK ORDER NUMBER ( MONTGOMERY PROCESSING CENTER (MPC) /GEO) CONTRACT PERIOD OF PERFORMANCE- 18 AUG 2022 - 17 AUG 2023 FUNDING PERIOD OF PERFORMANCE - 18 AUG 2022 - 30 SEP 2022,26773577.94,26773577.94,26773577.94,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
TEXAS,2022,CORRECTIONAL INSTITUTIONS,FUNDING MOD FOR RIO GRANDE FACILITY WITH GEO GROUP UNDER DOJ NUMBER ODT-7-C-0003. (POP 4/1/22 - 3/31/23)  COR:  JOSE LONGORIA,1700731.52,1700731.52,1700731.52,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
,2022,FACILITIES SUPPORT SERVICES,ADMIN MOD,0.0,,566304901.26,,
,2022,FACILITIES SUPPORT SERVICES,OY EXERCISE,0.0,,566304901.26,,
FLORIDA,2022,SECURITY GUARDS AND PATROL SERVICES,MIA AOR IMMIGRATION DETENTION AND TRANSPORTATION SERVICES,34104348.58,38106456.52,38106456.52,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
CALIFORNIA,2022,SECURITY GUARDS AND PATROL SERVICES,ADD FUNDING FOR DETENTION SERVICES IN THE LOS ANGELES AREA OF RESPONSIBILITY,74724453.95,74724453.95,74724453.95,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
FLORIDA,2022,NONSCHEDULED CHARTERED PASSENGER AIR TRANSPORTATION,EMERGENCY HAITIAN MIGRANTS FLIGHT SERVICES,4773531.7,4773531.7,4773531.7,21.0: Travel and transportation of persons,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
TEXAS,2022,FACILITIES SUPPORT SERVICES,MONTGOMERY PROCESSING CENTER DETENTION SERVICES,39322231.47,39322231.47,39322231.47,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
COLORADO,2022,FACILITIES SUPPORT SERVICES,"INCREMENTAL FUNDING FOR DETENTION, TRANSPORTATION AND MEDICAL SERVICES FOR DENVER (AURORA) CONTRACT DETENTION FACILITY",43261453.11,43261453.11,43261453.11,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
TEXAS,2022,CORRECTIONAL INSTITUTIONS,SOUTH TEXAS DETENTION COMPLEX FUNDING,53021711.94,53021711.94,53021711.94,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
TEXAS,2022,CORRECTIONAL INSTITUTIONS,SOUTH TEXAS DETENTION COMPLEX NEW TASK ORDER - POP 06 AUG 2022  - 05 AUG 2023.,4202000.0,4202000.0,4202000.0,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
,2022,CORRECTIONAL INSTITUTIONS,EO14042,0.0,,570646753.28,,
CALIFORNIA,2022,SECURITY GUARDS AND PATROL SERVICES,FUNDING FOR DETENTION SERVICES AT MESA VERDE AND GOLDEN STATE FACILITIES.,33110534.85,33110534.85,33110534.85,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons;31.0: Equipment,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
TEXAS,2022,CORRECTIONAL INSTITUTIONS,ADMIN MOD FOR RIO GRANDE FACILITY WITH GEO GROUP UNDER DOJ NUMBER ODT-7-C-0003. (POP 4/1/22 - 3/31/23)  COR:  JOSE LONGORIA,1400452.92,1400452.92,1400452.92,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
FLORIDA,2022,SECURITY GUARDS AND PATROL SERVICES,MIA AOR IMMIGRATION DETENTION AND TRANSPORTATION SERVICES,31552048.58,38106456.52,38106456.52,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
WASHINGTON,2022,FACILITIES SUPPORT SERVICES,"INCREMENTALLY FUNDING FOR DETENTION SERVICES AT NORTHWEST DETENTION CENTER, TACOMA",49150439.84,49150439.84,49150439.84,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
GEORGIA,2022,CORRECTIONAL INSTITUTIONS,DETAINEE BED DAYS AT THE ROBERT A. DEYTON DETENTION FACILITY,69400.0,69400.0,69400.0,25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
TEXAS,2022,FACILITIES SUPPORT SERVICES,"MONTGOMERY PROCESSING CENTER, HOUSTON",40268189.97,40268189.97,40268189.97,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
FLORIDA,2022,SECURITY GUARDS AND PATROL SERVICES,MIA AOR IMMIGRATION DETENTION AND TRANSPORTATION SERVICES,28579748.58,38034694.6,38034694.6,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
,2022,SECURITY GUARDS AND PATROL SERVICES,INCORPORATE PRICE ADJUSTMENT DUE TO REA,0.0,,2310887463.28,,
TEXAS,2022,CORRECTIONAL INSTITUTIONS,SOUTH TEXAS DETENTION COMPLEX FUNDING,53021711.94,53021711.94,53021711.94,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
,2022,FACILITIES SUPPORT SERVICES,"REVISED STAFFING PLAN FOR DETENTION SERVICES AT AURORA, DENVER, CO",0.0,,469388589.68,,
TEXAS,2022,CORRECTIONAL INSTITUTIONS,ADMIN MOD FOR RIO GRANDE FACILITY WITH GEO GROUP UNDER DOJ NUMBER ODT-7-C-0003. (POP 4/1/22 - 3/31/23)  COR:  JOSE LONGORIA,1100174.32,1100174.32,1100174.32,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
TEXAS,2022,CORRECTIONAL INSTITUTIONS,DETENTION SERVICES FOR RIO GRANDE DETENTION CENTER,5186856.24,5186856.24,5186856.24,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
,2022,FACILITIES SUPPORT SERVICES,ADD ODC CLIN FOR NORTHWEST DETENTION CENTER,0.0,,748439695.88,,
TEXAS,2022,CORRECTIONAL INSTITUTIONS,FUNDING FOR RIO GRANDE FACILITY WITH GEO GROUP UNDER DOJ NUMBER ODT-7-C-0003.  NEW TASK ORDER .  (POP 4/1/22 - 3/31/23)  COR:  JOSE LONGORIA,435864.92,435864.92,435864.92,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
,2022,CORRECTIONAL INSTITUTIONS,RIO GRANDE DETENTION CENTER,162677.4,,92715840.0,,
,2022,SECURITY GUARDS AND PATROL SERVICES,MIA AOR IMMIGRATION DETENTION AND TRANSPORTATION SERVICES,0.0,,202328478.52,,
CALIFORNIA,2022,SECURITY GUARDS AND PATROL SERVICES,TO ADD FUNDING FOR DETENTION SERVICES IN THE LOS ANGELES AREA OF RESPONSIBILITY,44033953.95,44033953.95,44033953.95,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
TEXAS,2022,FACILITIES SUPPORT SERVICES,MONTGOMERY PROCESSING CENTER DETENTION SERVICES,39322231.47,39322231.47,39322231.47,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
CALIFORNIA,2022,SECURITY GUARDS AND PATROL SERVICES,INCREMENTAL FUNDING FOR DETENTION SERVICES AT MESA VERDE AND GOLDEN STATE FACILITIES.,14934014.9,14934014.9,14934014.9,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons;31.0: Equipment,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
TEXAS,2022,CORRECTIONAL INSTITUTIONS,SOUTH TEXAS DETENTION COMPLEX FUNDING,53021711.94,53021711.94,53021711.94,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
COLORADO,2022,FACILITIES SUPPORT SERVICES,"INCREMENTAL FUNDING FOR DETENTION, TRANSPORTATION AND MEDICAL SERVICES FOR DENVER (AURORA) CONTRACT DETENTION FACILITY",43261453.11,43261453.11,43261453.11,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
CALIFORNIA,2022,SECURITY GUARDS AND PATROL SERVICES,DEOBLIGATION AND CLOSEOUT,52068498.1,52068498.1,52068498.1,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons;31.0: Equipment,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
CALIFORNIA,2022,FACILITIES SUPPORT SERVICES,CLOSEOUT TASK ORDER FOR DETENTION AND GUARD SERVICES,116.76,116.76,116.76,25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
FLORIDA,2022,SECURITY GUARDS AND PATROL SERVICES,MIA AOR IMMIGRATION DETENTION AND TRANSPORTATION SERVICES,28579748.58,38034694.6,38034694.6,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
WASHINGTON,2022,FACILITIES SUPPORT SERVICES,"FUNDING FOR BED DAY GM, TRANSPORTATION, FUEL, AND REMOTE POST FOR NORTHWEST DETENTION CENTER TACOMA",24671901.83,24671901.83,24671901.83,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
COLORADO,2022,FACILITIES SUPPORT SERVICES,"DETENTION, TRANSPORTATION AND MEDICAL SERVICES FOR DENVER (AURORA) CONTRACT DETENTION FACILITY",43261453.11,43261453.11,43261453.11,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
GEORGIA,2022,CORRECTIONAL INSTITUTIONS,DETAINEE BED DAYS AT THE ROBERT A. DEYTON DETENTION FACILITY,724669.57,724669.57,724669.57,25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2022,FACILITIES SUPPORT SERVICES,"REVISED UNIT PRICES FOR DETENTION SERVICES AT AURORA, DENVER, CO",0.0,,469388589.68,,
TEXAS,2022,FACILITIES SUPPORT SERVICES,MONTGOMERY PROCESSING CENTER DETENTION SERVICES,39322231.47,39322231.47,39322231.47,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
TEXAS,2022,CORRECTIONAL INSTITUTIONS,DETENTION SERVICES FOR RIO GRANDE DETENTION CENTER,4799420.44,4799420.44,4799420.44,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
,2022,FACILITIES SUPPORT SERVICES,"APPROVED REA AND REVISED UNIT PRICES FOR DETENTION SERVICES AT AURORA, DENVER, CO",0.0,,469388589.68,,
CALIFORNIA,2022,SECURITY GUARDS AND PATROL SERVICES,TO ADD FUNDING FOR DETENTION SERVICES IN THE LOS ANGELES AREA OF RESPONSIBILITY,44033953.95,44033953.95,44033953.95,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
WASHINGTON,2022,FACILITIES SUPPORT SERVICES,"FUNDING FOR BED DAY GM, TRANSPORTATION, FUEL, REMOTE POST, AND SNACKS FOR NORTHWEST DETENTION CENTER TACOMA",21860272.1,21860272.1,21860272.1,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
